Task ID,Start date ('YYYY-MM-DD'),End date  ('YYYY-MM-DD'),Start date since project start ,End date since project start 
439,'2016-03-21','2016-05-09',202,251
440,'2016-03-21','2016-05-09',202,251
441,'2016-03-21','2016-05-09',202,251
442,'2017-06-01','2017-06-27',639,665
443,'2017-06-01','2017-06-27',639,665
444,'2016-03-21','2016-05-16',202,258
445,'2016-05-17','2016-08-01',259,335
446,'2016-10-31','2016-12-09',426,465
447,'2017-01-30','2017-04-06',517,583
448,'2017-04-07','2017-06-07',584,645
449,'2016-10-31','2017-03-24',426,570
450,'2017-05-24','2017-06-28',631,666
451,'2016-05-31','2016-06-24',273,297
452,'2016-05-31','2016-06-24',273,297
453,'2015-12-01','2015-12-07',91,97
454,'2016-04-11','2016-04-29',223,241
455,'2016-05-03','2016-05-23',245,265
456,'2016-05-16','2016-05-19',258,261
457,'2016-05-16','2016-06-06',258,279
458,'2016-06-20','2016-07-07',293,310
459,'2016-06-27','2016-07-01',300,304
460,'2016-08-01','2016-08-19',335,353
461,'2016-10-03','2016-10-07',398,402
462,'2016-10-10','2016-10-21',405,416
463,'2016-10-24','2016-11-11',419,437
464,'2016-11-14','2016-11-24',440,450
465,'2016-11-25','2016-12-01',451,457
466,'2016-12-02','2016-12-08',458,464
467,'2016-12-09','2016-12-15',465,471
468,'2016-04-25','2016-05-12',237,254
469,'2016-08-01','2016-08-15',335,349
470,'2016-06-27','2016-07-07',300,310
471,'2016-06-20','2016-06-20',293,293
472,'2017-01-03','2017-02-27',490,545
473,'2017-03-09','2017-03-21',555,567
474,'2017-02-17','2017-02-23',535,541
475,'2016-03-21','2016-03-24',202,205
476,'2016-02-29','2016-02-29',181,181
477,'2016-05-28','2017-01-27',270,514
478,'2017-01-30','2017-02-03',517,521
479,'2017-02-03','2017-02-03',521,521
480,'2016-02-29','2016-02-29',181,181
481,'2016-02-27','2016-04-29',179,241
482,'2017-01-03','2017-09-14',490,744
483,'2017-09-14','2017-09-14',744,744
484,'2016-02-29','2016-02-29',181,181
485,'2016-02-27','2016-12-31',179,487
486,'2017-01-03','2017-01-30',490,517
487,'2017-01-30','2017-01-30',517,517
488,'2016-02-29','2016-02-29',181,181
489,'2017-01-30','2017-02-03',517,521
490,'2017-01-30','2017-03-02',517,548
491,'2017-03-02','2017-03-02',548,548
492,'2017-01-30','2017-06-30',517,668
493,'2017-01-30','2017-05-25',517,632
494,'2017-01-30','2017-02-03',517,521
495,'2017-01-30','2017-02-03',517,521
496,'2017-01-30','2017-06-30',517,668
497,'2017-01-30','2017-02-03',517,521
498,'2017-01-30','2017-03-02',517,548
499,'2017-01-30','2017-02-03',517,521
500,'2017-01-30','2017-06-30',517,668
501,'2017-01-30','2017-03-31',517,577
502,'2017-01-30','2017-02-20',517,538
503,'2017-01-30','2017-04-13',517,590
504,'2016-06-27','2016-08-24',300,358
505,'2016-06-27','2016-08-24',300,358
506,'2016-06-27','2016-08-24',300,358
507,'2017-01-03','2017-01-27',490,514
508,'2017-01-30','2017-02-24',517,542
509,'2016-02-22','2016-09-09',174,374
510,'2016-10-03','2016-10-03',398,398
511,'2016-10-03','2016-10-07',398,402
512,'2016-10-03','2016-10-07',398,402
513,'2016-03-26','2016-10-28',207,423
514,'2017-01-30','2017-05-02',517,609
515,'2016-05-16','2016-05-16',258,258
516,'2016-05-31','2016-05-31',273,273
517,'2016-05-28','2016-12-31',270,487
518,'2017-01-30','2017-02-08',517,526
519,'2017-02-08','2017-02-08',526,526
520,'2016-10-03','2017-09-01',398,731
521,'2016-05-28','2017-01-27',270,514
522,'2016-06-20','2016-06-20',293,293
